graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
9graph_66_66_1000.dimacs;random_2level;dfs;49293;5511.926793400;49164.800000000;198000;0.248307071;13002;4358;0;0;0.000004311;0.000025725;0.000048638;0.000012115;0.666712526;0.238062081;0.244116983;-1;-1;-1;-1
9graph_66_66_1000.dimacs;random_2level;fat;49293;105.435560600;315;457544.044086903;0.000688458;13002;4358;0;0;0.000012872;0.000076805;0.000000930;0.000015145;0.693396563;0.700807934;0.733675527;0.845073100;0.725653970;0.152127756;0.415217348
9graph_66_66_1000.dimacs;random_2level;scaling;49293;30.494135800;706;457544.044086903;0.001543021;13002;4358;0;0;0.000001661;0.000009911;0.000000269;0.000009036;0.320218620;0.116883957;0.130154306;-1;-1;-1;-1
10graph_68_68_1000.dimacs;random_2level;bfs;50060;697.426644400;5152;63857304;0.000080680;13804;4626;0.191321356;0.000447645;0.000004903;0.000029263;0.000005461;0.000004409;0.928956271;0.938282753;0.956347100;-1;-1;-1;-1
10graph_68_68_1000.dimacs;random_2level;dfs;50060;5943.766616400;49959.200000000;204000;0.244898039;13804;4626;0;0;0.000004309;0.000025718;0.000046539;0.000012139;0.664881622;0.238453150;0.243598665;-1;-1;-1;-1
10graph_68_68_1000.dimacs;random_2level;fat;50060;113.690282800;275;486955.691372100;0.000564733;13804;4626;0;0;0.000014975;0.000089369;0.000000890;0.000017034;0.714281335;0.721329522;0.759426912;0.856064929;0.760073891;0.167054345;0.455964803
10graph_68_68_1000.dimacs;random_2level;scaling;50060;40.110731600;795;486955.691372100;0.001632592;13804;4626;0;0;0.000001828;0.000010907;0.000000314;0.000008732;0.351814600;0.135391710;0.150349047;-1;-1;-1;-1
11graph_70_70_1000.dimacs;random_2level;bfs;50190;767.202440600;5375;71716260;0.000074948;14630;4902;0.186637047;0.000424956;0.000004878;0.000029118;0.000005349;0.000004391;0.926870627;0.935923407;0.955793270;-1;-1;-1;-1
11graph_70_70_1000.dimacs;random_2level;dfs;50190;6442.788494000;50053.800000000;210000;0.238351429;14630;4902;0;0;0.000004399;0.000026258;0.000044919;0.000012339;0.667795197;0.239522983;0.244637607;-1;-1;-1;-1
11graph_70_70_1000.dimacs;random_2level;fat;50190;121.074321600;289;517317.672016123;0.000558651;14630;4902;0;0;0.000014318;0.000085464;0.000000844;0.000017373;0.668823826;0.675544161;0.712076432;0.829753127;0.705423533;0.148885425;0.406379555
11graph_70_70_1000.dimacs;random_2level;scaling;50190;33.575046600;755;517317.672016123;0.001459451;14630;4902;0;0;0.000001520;0.000009072;0.000000234;0.000009247;0.295866534;0.102832065;0.114784236;-1;-1;-1;-1
12graph_72_72_1000.dimacs;random_2level;bfs;51478;924.936659200;5822;80279280;0.000072522;15480;5186;0.191117571;0.000403186;0.000005131;0.000030634;0.000005761;0.000004611;0.928720641;0.937534608;0.957337373;-1;-1;-1;-1
12graph_72_72_1000.dimacs;random_2level;dfs;51478;6954.338319000;51385.200000000;216000;0.237894444;15480;5186;0;0;0.000004371;0.000026097;0.000043313;0.000012455;0.659375667;0.235414796;0.240517985;-1;-1;-1;-1
12graph_72_72_1000.dimacs;random_2level;fat;51478;106.292994000;318;548631.998520119;0.000579624;15480;5186;0;0;0.000010796;0.000064453;0.000000662;0.000014260;0.612666662;0.618383225;0.654488445;0.815605391;0.641191694;0.134732176;0.367753449
12graph_72_72_1000.dimacs;random_2level;scaling;51478;38.012990000;785;548631.998520119;0.001430832;15480;5186;0;0;0.000001564;0.000009337;0.000000237;0.000009637;0.293603307;0.099465676;0.113122830;-1;-1;-1;-1
13graph_74_74_1000.dimacs;random_2level;bfs;51717;982.153268200;5827;89587212;0.000065043;16354;5478;0.183196771;0.000376735;0.000005153;0.000030769;0.000005482;0.000004632;0.928265036;0.936841605;0.956989035;-1;-1;-1;-1
13graph_74_74_1000.dimacs;random_2level;dfs;51717;7322.601168000;51635.400000000;222000;0.232591892;16354;5478;0;0;0.000004336;0.000025888;0.000040869;0.000012373;0.657744695;0.235341964;0.240271710;-1;-1;-1;-1
13graph_74_74_1000.dimacs;random_2level;fat;51717;133.600079400;326;580900.626539307;0.000561198;16354;5478;0;0;0.000012530;0.000074811;0.000000746;0.000016088;0.631095492;0.636986430;0.673114249;0.807653369;0.670624495;0.135945803;0.371070710
13graph_74_74_1000.dimacs;random_2level;scaling;51717;35.501603600;797;580900.626539307;0.001372007;16354;5478;0;0;0.000001362;0.000008131;0.000000198;0.000009143;0.273201166;0.091563938;0.103200074;-1;-1;-1;-1
