graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm_n_plus_m;avg_time_over_r_2nm_sntm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
23graph_94_94_1000.dimacs;random_2level;fat;67737;351.686813000;407;956468.671034652;0.000425524;26414;8838;0;0;0.000032714;0.000097770;0.000001120;0.000000052;0.000014487;0.945010183;0.945256303;0.970943439;0.000113148;0.000113148;0.431918317;1.179053996
23graph_94_94_1000.dimacs;random_2level;scaling;67737;150.288802000;1027;282000;0.003641844;26414;8838;0;0;0.000005540;0.000016558;0.000000479;0.000000024;0.000026209;0.212563237;0.058299208;0.070130479;-1;-1;-1;-1
24graph_96_96_1000.dimacs;random_2level;bfs;69343;2939.907474000;10032;253974336;0.000039500;27552;9218;0.190820993;0.000225447;0.000010636;0.000031791;0.000002134;0.000004146;0.000004725;0.940225645;0.940403600;0.968260017;-1;-1;-1;-1
24graph_96_96_1000.dimacs;random_2level;dfs;69343;17440.360889000;69340;288000;0.240763889;27552;9218;0;0;0.000009129;0.000027286;0.000012661;0.000000011;0.000013029;0.658232651;0.235829612;0.240228390;-1;-1;-1;-1
24graph_96_96_1000.dimacs;random_2level;fat;69343;435.933274000;422;999350.124501497;0.000422274;27552;9218;0;0;0.000037493;0.000112065;0.000000316;0.000000058;0.000016656;0.940117162;0.940403600;0.968260017;0.000108483;0.000108483;0.450655305;1.230211272
24graph_96_96_1000.dimacs;random_2level;scaling;69343;201.157286000;1048;288000;0.003638889;27552;9218;0;0;0.000006967;0.000020823;0.000000146;0.000000020;0.000023070;0.264709852;0.095229576;0.106709759;-1;-1;-1;-1
25graph_98_98_1000.dimacs;random_2level;bfs;72232;3418.526531000;10743;275826684;0.000038948;28714;9606;0.194748206;0.000218107;0.000011082;0.000033126;-0.000014486;0.000004309;0.000004912;0.943889236;0.943790485;0.970136519;-1;-1;-1;-1
25graph_98_98_1000.dimacs;random_2level;dfs;72232;19005.232171000;72168;294000;0.245469388;28714;9606;0;0;0.000009171;0.000027415;-0.000080536;0.000000011;0.000013026;0.660518788;0.236882752;0.241549907;-1;-1;-1;-1
25graph_98_98_1000.dimacs;random_2level;fat;72232;446.477376000;456;1043205.843318837;0.000437114;28714;9606;0;0;0.000034099;0.000101928;-0.000001892;0.000000050;0.000015115;0.943785134;0.943790485;0.970136519;0.000104102;0.000104102;0.448116268;1.223288611
25graph_98_98_1000.dimacs;random_2level;scaling;72232;195.244541000;1056;294000;0.003591837;28714;9606;0;0;0.000006439;0.000019247;-0.000000827;0.000000018;0.000022245;0.262239628;0.088283669;0.100865300;-1;-1;-1;-1
