graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
12graph_72_25_1000.dimacs;square_mesh;bfs;216000;7142.005110600;20175;661961784;0.000030478;127644;5186;0.083027796;0.000385654;0.000001387;0.000068261;0.000005395;0.000001365;0.993076661;0.999718714;0.996061251;-1;-1;-1;-1
12graph_72_25_1000.dimacs;square_mesh;dfs;216000;30388.725962400;137132.400000000;216000;0.634872222;127644;5186;0;0;0.000000868;0.000042730;0.000022954;0.000007065;0.816361008;0.106240413;0.106279417;-1;-1;-1;-1
12graph_72_25_1000.dimacs;square_mesh;fat;216000;212.606201400;341;4523874.859115123;0.000075378;127644;5186;0;0;0.000002442;0.000120223;0.000000161;0.000003913;0.611102189;0.618231921;0.611803542;0.976625542;0.630524546;0.086291386;0.663040572
12graph_72_25_1000.dimacs;square_mesh;scaling;216000;47.730396400;702;4523874.859115123;0.000155177;127644;5186;0;0;0.000000266;0.000013111;0.000000036;0.000004258;0.298068545;0.093634832;0.056500782;-1;-1;-1;-1
13graph_74_25_1000.dimacs;square_mesh;bfs;222000;7844.160602800;21314;738971244;0.000028843;134898;5478;0.082984922;0.000365097;0.000001364;0.000067183;0.000005307;0.000001342;0.993281476;0.999727171;0.996178943;-1;-1;-1;-1
13graph_74_25_1000.dimacs;square_mesh;dfs;222000;34827.942550600;146430.800000000;222000;0.659598198;134898;5478;0;0;0.000000882;0.000043419;0.000023565;0.000007086;0.813994057;0.107751458;0.107878704;-1;-1;-1;-1
13graph_74_25_1000.dimacs;square_mesh;fat;222000;253.598485400;346;4791630.959942485;0.000072209;134898;5478;0;0;0.000002717;0.000133798;0.000000172;0.000004372;0.608294449;0.615301032;0.608991941;0.979209534;0.633421759;0.086626016;0.665839096
13graph_74_25_1000.dimacs;square_mesh;scaling;222000;51.156267000;736;4791630.959942485;0.000153601;134898;5478;0;0;0.000000258;0.000012688;0.000000035;0.000004502;0.286386653;0.085186948;0.051412753;-1;-1;-1;-1
14graph_76_25_1000.dimacs;square_mesh;bfs;228000;8768.022565400;22668;822509856;0.000027560;142352;5778;0.083925761;0.000346141;0.000001359;0.000066944;0.000005330;0.000001337;0.993477836;0.999735268;0.996291546;-1;-1;-1;-1
14graph_76_25_1000.dimacs;square_mesh;dfs;228000;39392.406896200;155833.600000000;228000;0.683480702;142352;5778;0;0;0.000000888;0.000043750;0.000023946;0.000007048;0.811905714;0.109288093;0.109505791;-1;-1;-1;-1
